_step,observe/obs_s_theta_mean_mean,observe/obs_wm_s_mean,observe/obs_wm_s_B_mean,observe/obs_delta_s_mean_mean,observe/obs_step_entropy_mean_mean,episode/success_rate,val/success_rate
10,1.9298728102616676,4.271699021104723,5.177676612325013,-0.2191698436340655,0.5568228356336477,0.4296875,0.3046875
20,1.9216490621095184,3.578214694809867,4.516998353495728,-0.3156199504514016,0.6016700290580047,0.4140625,0.46875
30,1.8585272414751932,3.1161915665628235,4.033053380644156,-0.3626643337079163,0.5925247121809257,0.421875,0.546875
40,1.7280952016221656,2.857774944503843,3.7610030627110973,-0.3824923172584826,0.5264367587110933,0.5234375,0.609375
50,1.8426886838121934,2.694804981624817,3.7769007023478696,-0.4008252004164276,0.570908458370147,0.546875,0.65625
60,1.8559606410457536,2.9202747302562266,3.9089541706655706,-0.36719411957885983,0.652307505400261,0.6328125,0.6640625
70,1.822901921790645,2.834648248186568,3.885879780082697,-0.31525309656732853,0.513777062416401,0.6875,0.703125
80,1.890184440978369,3.1223785006513936,4.07559318235144,-0.3350551077617354,0.6941045247276634,0.59375,0.7265625
90,1.7389775827862657,3.1817807914922014,4.160583260367275,-0.3211062817632766,0.660835552021581,0.546875,0.734375
100,1.7671517238273755,3.318992857074858,4.199997397577938,-0.3050548748802023,0.8959559463718613,0.515625,0.75
110,1.8367111734622676,3.0993092134885956,3.964890821836889,-0.3212852746730035,0.7148812867127768,0.71875,0.71875
120,1.8006318506265173,3.305022952920648,4.196264210348839,-0.30186848793503573,0.7418193960885915,0.5625,0.71875
130,1.7742541207272235,2.9535488722987275,3.7775607491078387,-0.3255264437140736,0.9301566335109328,0.59375,0.7734375
140,2.040924101982242,3.102965921960556,3.9408575615021757,-0.3963761173007934,0.830717544793655,0.640625,0.78125
150,2.0154557314773096,3.302882956166286,4.125960166294438,-0.3521152331516402,0.9074896633137541,0.7734375,0.8828125
